title,price,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,images
프리즘코리아 ABC65G,"575,670원",종류 : LED,TV화면크기 : 165.1cm(65인치),해상도 : UHD(4K),스마트 : 넷플릭스,구글플레이,유튜브,구글어시스턴트,크롬캐스트,
LG전자 울트라HD 75UP8300ENA,"1,597,130원",종류 : LED,TV화면크기 : 190.5cm(75인치),해상도 : UHD(4K),패널 : IPS패널,스마트 : 인공지능씽큐,구글어시스턴트,웹OS6.0,기술 : HLG,
삼성전자 삼성 KU65UA8180FXKR,"1,101,750원",종류 : LED,TV화면크기 : 165.1cm(65인치),해상도 : UHD(4K),스마트 : 넷플릭스,유튜브,인터넷,스마트리모컨,빅스비,
삼성전자 삼성 KU85UA7000FXKR,"2,130,370원",종류 : LED,TV화면크기 : 215.9cm(85인치),해상도 : UHD(4K),스마트 : 인터넷,구글어시스턴트,탭뷰,출시년도 : 2021년형,기술 : HDR,
삼성전자 삼성 UN43N5020AFXKR,"334,620원",종류 : LED,TV화면크기 : 109.22cm(43인치),해상도 : Full HD,"USB기능 : USB재생(동영상,사진,음악)",음향 : 20W(2채널),단자 : HDMI(2개),USB,에너지효율 : 1등급,
